,index,title,description,img,cleand_title,location,Specialties,Delivery / Pick-up,Halal Status,Less Sweet,IG,Email,Website
0,1,cakeberus (Woodlands/Admiralty),"Cookies & Biscuits, Festive Baked Goods - Chinese New Year
hello! i am a homebased baker who mainly specialises in cookies, mainly butter cookiesi can be contacted via dm or email me at hello.cakeberus@gmail.comself pick-ups would be at woodlands/admiralty mrtorders can be placed via my website
Self Pick-upEmail:
hello.cakeberus@gmail.comWeb:
cakeberus.cococart.coIG:
@cakeberusCarousell:
@cakeberus","https://static.wixstatic.com/media/fad52e_0d845a717d3e4a348ba190cf015385f4~mv2.png/v1/crop/x_259,y_259,w_981,h_981/fill/w_215,h_215,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/Green%20and%20White%20Tea%20and%20Cakes%20Logo.png",cakeberus,Woodlands/Admiralty,"Cookies & Biscuits, Festive Baked Goods - Chinese New Year",Self Pick-up,No,No,@cakeberus,hello.cakeberus@gmail.com,
1,2,Idougitbatter (Bukit Panjang),"Cakes, Cookies & Biscuits, Muffins
Will accept customised order for a minimum order of $60. Most of what’s featured on my IG are open for order (subject to ingredients availability). Minimum 2 days’ notice for small orders and at least 1 week’s notice for larger orders. DM for enquiries.Self Pick-up/Collection, Delivery is subject to availability
Delivery/Self Pick-upHalalEmail:
idib2019@yahoo.comIG:
@IdoughitbatterFB: I Dough It Batter","https://static.wixstatic.com/media/fad52e_0d845a717d3e4a348ba190cf015385f4~mv2.png/v1/crop/x_259,y_259,w_981,h_981/fill/w_215,h_215,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/Green%20and%20White%20Tea%20and%20Cakes%20Logo.png",Idougitbatter,Bukit Panjang,"Cakes, Cookies & Biscuits, Muffins",Delivery / Self Pick-up,No,No,@Idoughitbatter,idib2019@yahoo.com,
2,5,De Bliss Bakes (Yishun),"Cakes, Birthday Cakes, Wedding Cakes, Cupcakes, Fondant Cake Toppers
Our custom celebratory cakes are less sweet and delicious. Not to mention, pretty and appealing! We customise cakes that is personalised and special for the intended party!
Delivery/Self Pick-upHalalLess Sweet OptionsEmail:
Deblissbakes@gmail.comIG:
@Deblissbakes","https://static.wixstatic.com/media/fad52e_0d845a717d3e4a348ba190cf015385f4~mv2.png/v1/crop/x_259,y_259,w_981,h_981/fill/w_215,h_215,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/Green%20and%20White%20Tea%20and%20Cakes%20Logo.png",De Bliss Bakes,Yishun,"Cakes, Birthday Cakes, Wedding Cakes, Cupcakes, Fondant Cake Toppers",Delivery / Self Pick-up,No,Yes,@Deblissbakes,Deblissbakes@gmail.com,
3,6,LYE TARTÉ (Choa Chu Kang),"Cakes, Birthday Cakes, Cupcakes, Cookies & Biscuits, Pies & Tarts, Pastries, Festive Baked Goods (Chinese New Year, Christmas)
Tarts, Cookies, Cupcakes, Cakes, Tiramisus and more!Made from scratch with premium ingredients only.NO preservatives added.Tart shells are hand-lined and bake fresh upon order.Delivery are only on Saturday at $10 islandwide.FOC delivery for orders above $100.Order from our website now!
Delivery/Self Pick-upEmail:
Hello@lyetarte.comWeb:
HTTPS://LYETARTE.COMIG:
@LYETARTEFB: LYE TARTÉ","https://static.wixstatic.com/media/fad52e_0d845a717d3e4a348ba190cf015385f4~mv2.png/v1/crop/x_259,y_259,w_981,h_981/fill/w_215,h_215,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/Green%20and%20White%20Tea%20and%20Cakes%20Logo.png",LYE TARTÉ,Choa Chu Kang,"Cakes, Birthday Cakes, Cupcakes, Cookies & Biscuits, Pies & Tarts, Pastries, Festive Baked Goods (Chinese New Year, Christmas)",Delivery / Self Pick-up,No,No,@LYETARTE,Hello@lyetarte.com,
4,8,Whisked Away (Upper East Coast),"Cakes, Cupcakes, Cookies & Biscuits, Chocolate Confections, Pies & Tarts, Brownies, Donuts, Biscuits
Freshly baked small cakes and treat boxes with unique flavours that are changed every month. @whiskedaway_sg on Instagram, delivery and self-pick-up options are available. Link to order this month’s madeleine box is in our instagram bio.
Delivery/Self Pick-upIG:
@whiskedaway_sg","https://static.wixstatic.com/media/fad52e_0d845a717d3e4a348ba190cf015385f4~mv2.png/v1/crop/x_259,y_259,w_981,h_981/fill/w_215,h_215,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/Green%20and%20White%20Tea%20and%20Cakes%20Logo.png",Whisked Away,Upper East Coast,"Cakes, Cupcakes, Cookies & Biscuits, Chocolate Confections, Pies & Tarts, Brownies, Donuts, Biscuits",Delivery / Self Pick-up,No,No,@whiskedaway_sg,,
5,10,I'm Cake (Pasir Ris),"Cakes, Brownies, Traditional Desserts
Welcome to I'mCake! We are an online business selling Classic Marble cakes, bundt Marble and Nutella Marble cakes. Brownies and Cheesecakes.Traditional kuih bakar pandan and putri salat are available as well.Our cakes are made fresh upon order and we use only quality, premium ingredients.We are food Hygiene Certified.Pre-orders only.Thank you for your interest.💜💜💜***Do follow us on IG: imcake_byzee
Delivery/Self Pick-upHalalLess Sweet OptionsIG:
@Imcake_byzeeFB: @@zeecakes.com.sg","https://static.wixstatic.com/media/fad52e_0d845a717d3e4a348ba190cf015385f4~mv2.png/v1/crop/x_259,y_259,w_981,h_981/fill/w_215,h_215,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/Green%20and%20White%20Tea%20and%20Cakes%20Logo.png",I'm Cake,Pasir Ris,"Cakes, Brownies, Traditional Desserts",Delivery / Self Pick-up,No,Yes,@imcake_byzee,,
6,11,as is bakes (Bukit Panjang/Cashew),"Cakes, Cupcakes, Cookies & Biscuits, Pastries, Brownies
I am a self-taught home baker that get very satisfied when I see people enjoying my bakes. Hence, I am on an adventure to let more people try out my food and collect feedback such that I can always improve and bring out better desserts to the table.Contact info is via DMs from insta, Facebook & Carousell.Delivery charges are charged based on locations and self pick up is at cashew MRT stationPreferred to pre-order 3 days in advance however if there are last min orders, it will then depends on time availability.
Delivery/Self Pick-upIG:
@as_is_bakesFB: @As_is_bakesCarousell:
@as_is_bakesEmail:
as_is_bakes@hotmail.com","https://static.wixstatic.com/media/fad52e_0d845a717d3e4a348ba190cf015385f4~mv2.png/v1/crop/x_259,y_259,w_981,h_981/fill/w_215,h_215,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/Green%20and%20White%20Tea%20and%20Cakes%20Logo.png",as is bakes,Bukit Panjang/Cashew,"Cakes, Cupcakes, Cookies & Biscuits, Pastries, Brownies",Delivery / Self Pick-up,No,No,@as_is_bakes,as_is_bakes@hotmail.com,
7,12,Pastry Haven by Helen (Pasir Ris),"Cookies & Biscuits, Pastries, Brownies, Financiers & Madelines
We specialised in classic and premium flavours French financiersFreshly baked and handcrafted on the day of delivery/collection with finest ingredientsNo additives, preservatives or artificial colouringDelivery $8Self Pick-up @ Pasir Ris
Delivery/Self Pick-upLess Sweet OptionsWebsite:
pastryhavenbyhelen.cococart.comIG:
@pastryhaven.byhelenFB: @Pastry Haven by HelenEmail:
phbyhelen@gmail.com","https://static.wixstatic.com/media/fad52e_0d845a717d3e4a348ba190cf015385f4~mv2.png/v1/crop/x_259,y_259,w_981,h_981/fill/w_215,h_215,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/Green%20and%20White%20Tea%20and%20Cakes%20Logo.png",Pastry Haven by Helen,Pasir Ris,"Cookies & Biscuits, Pastries, Brownies, Financiers & Madelines",Delivery / Self Pick-up,No,Yes,@pastryhaven.byhelen,phbyhelen@gmail.com,
8,14,Georgie’s Chocolate (West),"Chocolate Confections, Strawberries dipped in Belgian Chocolate
Berries dipped in Premium Belgian Chocolate perfect for gifts! Box of 4 available for schools/ corporate orders. Deliveries are $10 for residential addresses and $15 for commercial address. Self pick-up located at West side of Singapore.
Delivery/Self Pick-upIG:
@Georgies.chocolateEmail:
Info.georgieschocolate@gmail.com","https://static.wixstatic.com/media/fad52e_0d845a717d3e4a348ba190cf015385f4~mv2.png/v1/crop/x_259,y_259,w_981,h_981/fill/w_215,h_215,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/Green%20and%20White%20Tea%20and%20Cakes%20Logo.png",Georgie’s Chocolate,West,"Chocolate Confections, Strawberries dipped in Belgian Chocolate",Delivery / Self Pick-up,No,No,@Georgies.chocolate,Info.georgieschocolate@gmail.com,
9,17,Bluebox Cookie SG (Punggol),"Cupcakes, Cookies & Biscuits, Pastries, Festive Baked Goods - Chinese New Year, Brownies
Home baker specialising in cookies & brownies. We also have gift sets available for special occasion such as wedding, festive season, baby shower etc.
Island wide delivery at $12 and self pick up at Punggol MRT are available for customers.
Customers can order via our website, www.blueboxcookiesg.com. Instagram: blueboxcookie.sg Email: blueboxcookiesg@gmail.com
Delivery/Self Pick-upWebsite:
www.blueboxcookiesg.comIG: @blueboxcookie.sgEmail:
blueboxcookiesg@gmail.com","https://static.wixstatic.com/media/fad52e_0d845a717d3e4a348ba190cf015385f4~mv2.png/v1/crop/x_259,y_259,w_981,h_981/fill/w_215,h_215,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/Green%20and%20White%20Tea%20and%20Cakes%20Logo.png",Bluebox Cookie SG,Punggol,"Cupcakes, Cookies & Biscuits, Pastries, Festive Baked Goods - Chinese New Year, Brownies",Delivery / Self Pick-up,No,No,@blueboxcookie.sg,blueboxcookiesg@gmail.com,www.blueboxcookiesg.com
10,19,Partage Patisserie (Pasir Ris),"Chocolate Confections, Pies & Tarts, Pastries
We're a small home-based Patisserie!
We make our tartes in-house daily with only the finest ingredients, from around the world. Sharing our passion of serving freshly baked tartes, that leaves a smile on your face. 🥰
Less sweetDelivery/Self Pick-upFree delivery >$50, if $5Website:
https://tinyurl.com/partagepatisserieEmail:
terencelinjj@gmail.comIG: @Partag.eFB: Partage","https://static.wixstatic.com/media/fad52e_0d845a717d3e4a348ba190cf015385f4~mv2.png/v1/crop/x_259,y_259,w_981,h_981/fill/w_215,h_215,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/Green%20and%20White%20Tea%20and%20Cakes%20Logo.png",Partage Patisserie,Pasir Ris,"Chocolate Confections, Pies & Tarts, Pastries",Delivery / Self Pick-up,No,Yes,@Partag.e,terencelinjj@gmail.com,https://tinyurl.com/partagepatisserieEmail:
11,21,Buttery Bakery SG (Bukit Batok),"Cookies & Biscuits, Pies & Tarts, Bread
What makes our cookies different?🍪 Our cookies are egg-less.🍪 We use premium SCS butter.🍪 Gluten-free flour.🍪 Lower in calories, healthier but taste extremely good!🍪 Low in sugar and cholesterol.🍪 Baked fresh every day!
HalalDelivery/Self Pick-upEmail:
admin@butterybakery.sgWeb:
https://www.butterybakery.sgIG:
@butterybakerysgFB: Buttery Bakery SG","https://static.wixstatic.com/media/fad52e_0d845a717d3e4a348ba190cf015385f4~mv2.png/v1/crop/x_259,y_259,w_981,h_981/fill/w_215,h_215,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/Green%20and%20White%20Tea%20and%20Cakes%20Logo.png",Buttery Bakery SG,Bukit Batok,"Cookies & Biscuits, Pies & Tarts, Bread",Delivery / Self Pick-up,No,No,@butterybakerysg,admin@butterybakery.sg,https://www.butterybakery:
